SP Name,Service Name,Tariff,Short Code,Opt-In,Opt-Out,Out Of Balance,Charged Units,Total Revenue,Date
BlackNGreen,MobiBattle-Subscription,300 IQD,4054,0,5,538,827,"248,100.00 IQD",8/26/2024
Dharam,Footballer Stars Club,300 IQD,4054,1,10,537,460,"138,000.00 IQD",8/26/2024
Dharam,Quiz Champ,300 IQD,4054,0,2,101,105,"31,500.00 IQD",8/26/2024
Gamester,TinyMinies,300 IQD,4054,0,0,67,84,"25,200.00 IQD",8/26/2024
Qadisha,books shelf,300 IQD,4054,0,8,2418,2173,"651,900.00 IQD",8/26/2024
Costar,Magic Games,300 IQD,4054,0,3,288,377,"113,100.00 IQD",8/26/2024
Megamaynd,High Fives,300 IQD,4054,1,1,146,245,"73,500.00 IQD",8/26/2024
Forest,Plat-Games,300 IQD,4054,0,1,99,86,"25,800.00 IQD",8/26/2024
Cookies,Play and Play,400 IQD,4054,0,2,267,143,"57,200.00 IQD",8/26/2024
Hyve,Fantasy5,400 IQD,4054,0,0,16,13,"5,200.00 IQD",8/26/2024
Grand Technology,Games Zone,300 IQD,4054,0,0,188,211,"63,300.00 IQD",8/26/2024
albawaba,Know Your Country,300 IQD,4054,0,1,0,0,0.00 IQD,8/26/2024
window-tech,Cooking World,300 IQD,4068,0,0,2,1,300.00 IQD,8/26/2024
window-tech,Cooking World - Sonline,300 IQD,4068,0,0,4,2,600.00 IQD,8/26/2024
window-tech,Excel Tips & Tricks,300 IQD,4068,0,0,20,3,900.00 IQD,8/26/2024
window-tech,Excel Tips & Tricks - GBOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/26/2024
window-tech,Health & Beauty,300 IQD,4068,0,0,2,1,300.00 IQD,8/26/2024
window-tech,Health & Beauty - GOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/26/2024
window-tech,Health & Beauty - SAOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/26/2024
window-tech,Online Games - GOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/26/2024
window-tech,Online Games - SAOnline,300 IQD,4068,0,0,0,1,300.00 IQD,8/26/2024
window-tech,Plant World - GBOnline,300 IQD,4068,0,0,0,0,0.00 IQD,8/26/2024
SVMobi,game station,300 IQD,4054,0,0,0,0,0.00 IQD,8/26/2024
MobMerchant,Pocket Library,300 IQD,4054,0,0,72,50,"15,000.00 IQD",8/25/2024
